body,transactions
SEDAN,241343
SUV,143844
HATCHBACK,26237
MINIVAN,25529
COUPE,17752
CREW CAB,16394
WAGON,16129
CONVERTIBLE,10476
SUPERCREW,9033
G SEDAN,7417
SUPERCAB,5311
REGULAR CAB,4850
VAN,4528
EXTENDED CAB,4507
QUAD CAB,4095
E-SERIES VAN,1823
DOUBLE CAB,1601
G COUPE,1593
CREWMAX CAB,565
KING CAB,532
G CONVERTIBLE,323
GENESIS COUPE,294
ACCESS CAB,294
KOUP,180
CLUB CAB,178
CTS COUPE,158
MEGA CAB,111
ELANTRA COUPE,103
BEETLE CONVERTIBLE,59
PROMASTER CARGO VAN,59
XTRACAB,44
Q60 CONVERTIBLE,42
Q60 COUPE,36
TSX SPORT WAGON,36
CTS-V COUPE,35
NAVITGATION,26
G37 CONVERTIBLE,20
TRANSIT VAN,19
REGULAR-CAB,15
CTS WAGON,14
GRANTURISMO CONVERTIBLE,13
G37 COUPE,12
CAB PLUS 4,6
CAB PLUS,4
RAM VAN,1
CTS-V WAGON,1
